time,riedon.riedon_current_mA,bms.pack_voltage_V
2025-11-22 13:39:05.498,72.484,134.3567
2025-11-22 13:39:05.999,72.484,134.355
2025-11-22 13:39:06.499,72.484,134.3532
2025-11-22 13:39:07.000,72.484,134.3522
2025-11-22 13:39:07.499,72.484,134.3517
2025-11-22 13:39:07.999,72.484,134.3508
2025-11-22 13:39:08.500,72.484,134.35
2025-11-22 13:39:09.000,72.484,134.3484
2025-11-22 13:39:09.498,72.484,134.3485
2025-11-22 13:39:10.000,72.484,134.3465
2025-11-22 13:39:10.501,72.484,134.3456
2025-11-22 13:39:10.999,72.484,134.3443
2025-11-22 13:39:11.500,72.484,134.3435
2025-11-22 13:39:11.999,72.484,134.3422
2025-11-22 13:39:12.499,72.484,134.3418
2025-11-22 13:39:13.000,72.484,134.3414
2025-11-22 13:39:13.499,72.484,134.3386
2025-11-22 13:39:13.999,72.484,134.339
2025-11-22 13:39:14.498,72.484,134.3382
2025-11-22 13:39:14.999,72.484,134.3358
2025-11-22 13:39:15.498,72.484,134.3346
2025-11-22 13:39:15.998,72.484,134.3337
2025-11-22 13:39:16.499,72.484,134.3325
2025-11-22 13:39:16.999,72.484,134.3321
2025-11-22 13:39:17.502,72.484,134.3296
2025-11-22 13:39:17.999,72.484,134.3296
2025-11-22 13:39:18.499,72.484,134.329
2025-11-22 13:39:19.002,72.484,134.3281
2025-11-22 13:39:19.499,72.484,134.3265
2025-11-22 13:39:19.999,72.484,134.3252
2025-11-22 13:39:20.500,72.484,134.3238
2025-11-22 13:39:20.999,72.484,134.3236
2025-11-22 13:39:21.499,72.484,134.323
2025-11-22 13:39:22.000,72.484,134.3212
2025-11-22 13:39:22.498,72.484,134.3207
2025-11-22 13:39:22.999,72.484,134.3193
2025-11-22 13:39:23.502,72.484,134.3186
2025-11-22 13:39:23.999,72.484,134.3176
2025-11-22 13:39:24.499,72.484,134.3156
2025-11-22 13:39:25.002,72.484,134.3145
2025-11-22 13:39:25.498,72.484,134.3136
2025-11-22 13:39:25.999,72.484,134.3137
2025-11-22 13:39:26.503,72.484,134.311
2025-11-22 13:39:26.999,72.484,134.311
2025-11-22 13:39:27.499,72.484,134.3095
2025-11-22 13:39:28.003,72.484,134.3084
2025-11-22 13:39:28.500,72.484,134.3074
2025-11-22 13:39:29.000,72.484,134.3065
2025-11-22 13:39:29.504,72.484,134.3059
2025-11-22 13:39:30.000,72.484,134.3041
2025-11-22 13:39:30.501,72.484,134.3047
2025-11-22 13:39:31.004,72.484,134.3028
2025-11-22 13:39:31.499,72.484,134.3015
2025-11-22 13:39:31.999,72.484,134.3006
2025-11-22 13:39:32.498,72.484,134.2992
2025-11-22 13:39:32.998,72.484,134.2978
2025-11-22 13:39:33.499,72.484,134.2975
2025-11-22 13:39:34.000,72.484,134.2972
2025-11-22 13:39:34.499,72.484,134.2946
2025-11-22 13:39:35.000,72.484,134.2933
2025-11-22 13:39:35.500,72.484,134.2922
2025-11-22 13:39:35.999,72.484,134.2934
2025-11-22 13:39:36.501,72.484,134.2911
2025-11-22 13:39:37.000,72.484,134.2917
2025-11-22 13:39:37.498,72.484,134.2892
2025-11-22 13:39:38.001,72.484,134.2872
2025-11-22 13:39:38.498,72.484,134.2895
2025-11-22 13:39:38.998,72.484,134.2878
2025-11-22 13:39:39.501,72.484,134.2847
2025-11-22 13:39:40.000,72.484,134.2857
2025-11-22 13:39:40.499,72.484,134.2822
2025-11-22 13:39:40.998,72.484,134.2828
2025-11-22 13:39:41.500,72.484,134.28
2025-11-22 13:39:42.000,72.484,134.281
2025-11-22 13:39:42.499,72.484,134.2803
2025-11-22 13:39:43.000,72.484,134.2792
2025-11-22 13:39:43.500,72.484,134.2761
2025-11-22 13:39:43.998,72.484,134.2753
2025-11-22 13:39:44.500,72.484,134.2753
2025-11-22 13:39:44.999,72.484,134.2737
2025-11-22 13:39:45.499,72.484,134.2734
2025-11-22 13:39:46.000,72.484,134.2732
2025-11-22 13:39:46.499,72.484,134.2722
2025-11-22 13:39:46.998,72.484,134.2708
2025-11-22 13:39:47.500,72.484,134.2671
2025-11-22 13:39:47.998,72.484,134.2678
2025-11-22 13:39:48.499,72.484,134.2671
2025-11-22 13:39:49.000,72.484,134.2656
2025-11-22 13:39:49.499,72.484,134.2653
2025-11-22 13:39:49.999,72.484,134.2634
2025-11-22 13:39:50.500,72.484,134.2632
2025-11-22 13:39:50.999,72.484,134.262
2025-11-22 13:39:51.499,72.484,134.2618
2025-11-22 13:39:52.000,72.484,134.2597
2025-11-22 13:39:52.499,72.484,134.2584
2025-11-22 13:39:52.998,72.484,134.2583
2025-11-22 13:39:53.500,72.484,134.256
2025-11-22 13:39:53.999,72.484,134.2557
2025-11-22 13:39:54.499,72.484,134.2549
2025-11-22 13:39:55.000,72.484,134.2538
2025-11-22 13:39:55.498,72.484,134.2532
2025-11-22 13:39:55.998,72.484,134.2506
2025-11-22 13:39:56.500,72.484,134.2503
2025-11-22 13:39:56.999,72.484,134.2492
2025-11-22 13:39:57.499,72.484,134.2491
2025-11-22 13:39:57.998,72.484,134.2473
2025-11-22 13:39:58.499,72.484,134.2451
2025-11-22 13:39:58.999,72.484,134.2442
2025-11-22 13:39:59.498,72.484,134.2433
2025-11-22 13:39:59.998,72.484,134.2417
2025-11-22 13:40:00.499,72.484,134.2401
2025-11-22 13:40:01.000,72.484,134.2402
2025-11-22 13:40:01.499,72.484,134.2386
2025-11-22 13:40:02.001,72.484,134.2381
2025-11-22 13:40:02.498,72.484,134.2372
2025-11-22 13:40:02.999,72.484,134.2362
2025-11-22 13:40:03.501,72.484,134.2354
2025-11-22 13:40:03.998,72.484,134.2335
2025-11-22 13:40:04.498,72.484,134.2321
2025-11-22 13:40:05.001,72.484,134.2319
2025-11-22 13:40:05.500,72.484,134.231
2025-11-22 13:40:05.998,72.484,134.2297
2025-11-22 13:40:06.501,72.484,134.2287
2025-11-22 13:40:07.000,72.484,134.227
2025-11-22 13:40:07.499,72.484,134.2271
2025-11-22 13:40:07.999,72.484,134.2261
2025-11-22 13:40:08.498,72.484,134.225
2025-11-22 13:40:08.999,72.484,134.2244
2025-11-22 13:40:09.499,72.484,134.2227
2025-11-22 13:40:10.000,72.484,134.2157
2025-11-22 13:40:10.499,72.484,134.2186
2025-11-22 13:40:10.999,72.484,134.2178
2025-11-22 13:40:11.500,72.484,134.2163
2025-11-22 13:40:11.998,72.484,134.2168
2025-11-22 13:40:12.502,72.484,134.2139
2025-11-22 13:40:13.000,72.484,134.2124
2025-11-22 13:40:13.499,72.484,134.2119
2025-11-22 13:40:13.999,72.484,134.2111
2025-11-22 13:40:14.498,72.484,134.2111
2025-11-22 13:40:14.999,72.484,134.2088
2025-11-22 13:40:15.499,72.484,134.2076
2025-11-22 13:40:16.000,72.484,134.2077
2025-11-22 13:40:16.501,72.484,134.2065
2025-11-22 13:40:16.999,72.484,134.2058
2025-11-22 13:40:16.999,72.484,134.2058
2025-11-22 13:40:17.501,72.484,134.2034
2025-11-22 13:40:17.999,72.484,134.2031
2025-11-22 13:40:18.500,72.484,134.2014
2025-11-22 13:40:19.001,72.484,134.2
2025-11-22 13:40:19.499,72.484,134.1999
2025-11-22 13:40:20.000,72.484,134.1986
2025-11-22 13:40:20.502,72.484,134.1975
2025-11-22 13:40:21.000,72.484,134.196
2025-11-22 13:40:21.501,72.484,134.1946
2025-11-22 13:40:22.001,72.484,134.1941
2025-11-22 13:40:22.499,72.484,134.1927
2025-11-22 13:40:22.999,72.484,134.1918
2025-11-22 13:40:23.500,72.484,134.1898
2025-11-22 13:40:23.998,72.484,134.1903
2025-11-22 13:40:24.499,72.484,134.1889
2025-11-22 13:40:25.000,72.484,134.188
2025-11-22 13:40:25.499,72.484,134.1867
2025-11-22 13:40:25.998,72.484,134.1856
2025-11-22 13:40:26.498,72.484,134.1853
2025-11-22 13:40:26.999,72.484,134.1843
2025-11-22 13:40:27.499,72.484,134.1828
2025-11-22 13:40:27.998,72.484,134.1812
2025-11-22 13:40:28.499,72.484,134.1803
2025-11-22 13:40:28.999,72.484,134.1811
2025-11-22 13:40:29.502,72.484,134.1775
2025-11-22 13:40:29.999,72.484,134.1766
2025-11-22 13:40:30.498,72.484,134.1758
2025-11-22 13:40:31.002,72.484,134.1771
2025-11-22 13:40:31.499,72.484,134.1725
2025-11-22 13:40:31.999,72.484,134.1739
2025-11-22 13:40:32.502,72.484,134.1708
2025-11-22 13:40:32.998,72.484,134.1704
2025-11-22 13:40:33.498,72.484,134.1708
2025-11-22 13:40:34.003,72.484,134.1689
2025-11-22 13:40:34.498,72.484,134.1677
2025-11-22 13:40:34.999,72.484,134.167
2025-11-22 13:40:35.500,72.484,134.1661
2025-11-22 13:40:35.999,72.484,134.1655
2025-11-22 13:40:36.500,72.484,134.1639
2025-11-22 13:40:36.998,72.484,134.1627
2025-11-22 13:40:37.498,72.484,134.162
